min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
70,35,10,0.256848829287011,37226,27470,7409,130,104253
70,40,10,0.25126771506441603,30626,36211,9564,117,104253
80,30,10,0.3058690280693381,36613,27726,7422,123,104253
80,20,10,0.31468938656911577,35369,28629,7419,125,104253
80,25,10,0.24018329210037195,37545,27687,7423,124,104253
80,35,10,0.23703303758808145,33874,32552,7409,114,104253
90,30,10,0.29127620627460005,33435,32740,7422,109,104253
90,20,10,0.31315046409843367,35778,28629,7419,119,104253
90,25,10,0.24513479869376564,37632,27687,7423,118,104253
80,40,10,0.2576534907677739,30647,36211,9564,112,104253
90,35,10,0.23943357169362142,34025,32552,7409,109,104253
100,30,10,0.2989515528995559,33917,32740,7422,104,104253
100,25,10,0.24236026734710664,38019,27687,7423,114,104253
100,20,10,0.3072772549359304,35864,28629,7419,112,104253
100,35,10,0.23580757853152234,34504,32552,7409,104,104253
150,20,10,0.3091508013028603,37004,27877,7419,96,104253
90,40,10,0.25083355949369607,30793,36211,9564,107,104253
150,30,10,0.280320598591125,35167,32740,7422,87,104253
150,25,10,0.21582003309005315,35742,32375,7423,87,104253
150,35,10,0.23818437417396096,35385,32552,7409,84,104253
200,20,10,0.29080605974843304,38743,27877,7419,80,104253
200,25,10,0.19253607769000297,38308,32375,7423,69,104253
250,20,10,0.21254240996750992,37589,31396,6570,67,104253
100,40,10,0.24724176580511226,31269,36211,9564,102,104253
200,30,10,0.27370258647321044,34434,35417,8975,70,104253
200,35,10,0.23542604228638775,37178,32552,7409,68,104253
250,25,10,0.19497587097599042,36980,34192,7423,61,104253
300,20,10,0.21563098675050954,39260,31665,6570,59,104253
250,30,10,0.21934765043636725,37765,32016,6698,64,104253
250,35,10,0.22249186782403418,38143,31754,6611,64,104253
150,40,10,0.2493122681695603,32295,36211,9564,81,104253
300,25,10,0.1998791641222231,38676,33778,6719,55,104253
350,20,10,0.21811334666296836,36213,35738,8767,54,104253
300,35,10,0.20624037306537413,39107,32588,6611,56,104253
300,30,10,0.22359956763716118,39086,32348,6698,57,104253
200,40,10,0.22939207106295165,35680,33742,7430,68,104253
350,25,10,0.31158158744703657,37080,35942,7955,51,104253
350,30,10,0.23979657186923367,36671,35545,8975,54,104253
250,40,10,0.22608437729337266,36515,33742,7430,63,104253
400,20,10,0.27969181715950403,37953,36587,8767,46,104253
350,35,10,0.2867749314761658,37291,35051,8829,54,104253
400,25,10,0.2796932954723381,37632,36800,7955,45,104253
300,40,10,0.22407237301855176,37411,34633,7430,55,104253
400,30,10,0.3077585102068622,36957,36879,8975,46,104253
450,20,10,0.2759132188854524,38354,36587,8767,45,104253
400,35,10,0.2798281384942669,37545,36391,8829,46,104253
450,25,10,0.20312622841002728,38467,37254,7955,42,104253
350,40,10,0.22119485138515732,37722,34633,7430,54,104253
450,30,10,0.2998459971898905,38254,36879,8975,43,104253
450,35,10,0.26776903254660633,38835,36391,8829,43,104253
500,20,10,0.25841692362266905,40034,38209,8767,38,104253
500,25,10,0.19174759571938796,39905,37254,7955,39,104253
500,30,10,0.28851226753656106,39693,36879,8975,40,104253
400,40,10,0.22936665298634462,36139,37656,9564,46,104253
500,35,10,0.25820285531060355,40273,36391,8829,40,104253
450,40,10,0.2172219081560366,37437,37656,9564,43,104253
500,40,10,0.2076310251128921,38875,37656,9564,40,104253
50,45,10,0.33559871868232727,37268,28166,7392,151,104253
60,45,10,0.34093972743118545,37615,28166,7392,137,104253
50,4,50,0.35371803615869446,33150,27399,7396,196,104253
